object,jan_version,jan_valid_from,jan_valid_to,june_version,june_valid_from,june_valid_to,change_type,route_affected,material,action,tag_change_json,june_tags_json,june_node_ids_json,parent_child,history_url
way/4299544,28,2021-02-06 10:45:57+00:00,2024-04-09T06:42:03Z,30,2024-04-09T06:42:03Z,2024-12-20T18:38:55Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,"{""maxheight"":[null,""4.5""],""lanes"":[null,""4""]}","{""full_name:fa"":""بزرگراه شهید محمدابراهیم همت"",""highway"":""trunk"",""lanes"":""4"",""maxheight"":""4.5"",""maxspeed"":""90"",""name"":""بزرگراه شهید همت"",""name:en"":""Shahid Hemmat Expressway"",""old_name"":""بزرگراه شمال عباس آباد"",""oneway"":""yes"",""ref"":""14"",""surface"":""asphalt""}","[1636241795,806589597,6614968504,25988063,4458381951,6614935374,25925781,3430499674]",,https://www.openstreetmap.org/way/4299544/history
way/4302939,17,2020-11-02 01:39:55+00:00,2024-01-08T10:12:46Z,18,2024-01-08T10:12:46Z,2025-05-10T16:14:52Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""bridge"":""yes"",""full_name:fa"":""بزرگراه شهید همت"",""highway"":""trunk"",""layer"":""1"",""maxspeed"":""90"",""name"":""بزرگراه شهید همت"",""name:en"":""Shahid Hemmat Expressway"",""oneway"":""yes"",""ref"":""14"",""surface"":""asphalt""}","[26019375,6463036420,26019376]",,https://www.openstreetmap.org/way/4302939/history
way/4347401,35,2023-12-15 18:22:10+00:00,2024-04-06T10:39:36Z,36,2024-04-06T10:39:36Z,2025-05-10T16:14:52Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""full_name:fa"":""بزرگراه شهید محمدابراهیم همت"",""highway"":""trunk"",""lanes"":""4"",""maxspeed"":""90"",""name"":""بزرگراه شهید همت"",""name:en"":""Shahid Hemmat Expressway"",""old_name"":""بزرگراه شمال عباس آباد"",""oneway"":""yes"",""ref"":""14"",""surface"":""asphalt""}","[310480450,1656299312,11795242982,310480451,25988055,310480802,6417885582,6417885581,190979313,6417885563,25988056,6418251385,6418251284,311048491,5930756078,6418251283,311049453]",,https://www.openstreetmap.org/way/4347401/history
way/4434036,44,2023-07-17 14:49:14+00:00,2024-01-25T08:42:22Z,45,2024-01-25T08:42:22Z,2026-09-10T23:24:15Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""highway"":""trunk"",""lanes"":""3"",""maxspeed"":""100"",""name"":""جاده دماوند"",""name:en"":""Damavand Road"",""oneway"":""yes"",""ref"":""77"",""surface"":""asphalt""}","[32031326,7928676205,5607958363,4407797435,1894527004,32031920,9845749611,1870219494,5031168341,1870219495,5031166613,5627541842,1894527079,27215156,27215157,27215158,1894527149,1894527154,27215159,4736768677,1894527178,27215160,32032032,1870219480,1870219533,1894527413,27215161,27215162,32032038,1894527553,27215163,32032051,1894527582,11051240763,32032052,4736768668,1870219505,1870234266,6848477489,1870233924,6661228202,1894527541,27215619,1894527485,1894527478,1894527460,27215621,1894527456,27215622,1894527481,1894527524,27215623,1894527588,6661228205,5031102931,27215624,5270393608,4736768671,32032322,299514041,32032316,1894527953,32032324,6661228206,1894527959,918588513,32032102,918588401,9487911666,918588745,27215628,918588633,32032374,918588969,9487839479,5031134665,1894527852,1894527844,6851630779,4313041563,1870233919,1894527754,4313041574,1870234292,1894527599,1894527569,1894527531,1870234040,11549191632,1870233721,1894527275,1894527176,27215631,32033036,32033155,4736768650,32033140,27215632,4736769052,27215633,1894527067,4313043100,27215634,4736769049,27215635,6851643296,32033180,6661228208,918588776,6661228212,1894527120,4736767865,1870233709,1894527131,7193355029,1870234298,6824724611,1894527135,1870234112,32033189,1894527138,1870233777,32033382,1894527119,1870233959,4736768348,1894527068,1894527055,5032632765,8400841824,5032632770,6651660299,1894527033,1894527014,1909147256,32033465]",,https://www.openstreetmap.org/way/4434036/history
way/19363588,36,2023-03-01 11:44:50+00:00,2024-03-29T14:54:48Z,38,2024-03-29T14:54:48Z,,A_NON_MATERIAL,Jan/east-chalus:base | Jan/east-chalus:closure | Jan/east-chalus_alt:base | Jan/east-chalus_alt:closure | Jan/east-kelardasht:base | Jan/east-kelardasht:closure | Jan/east-kelardasht_alt:base | Jan/east-kelardasht_alt:closure | Jan/east-nowshahr:base | Jan/east-nowshahr:closure | Jan/east-nowshahr_alt:base | Jan/east-nowshahr_alt:closure | Jun/east-chalus:base | Jun/east-chalus:closure | Jun/east-kelardasht:base | Jun/east-kelardasht:closure | Jun/east-nowshahr:base | Jun/east-nowshahr:closure | JunGate/east+0-chalus:base | JunGate/east+0-chalus:closure | JunGate/east+0-kelardasht:base | JunGate/east+0-kelardasht:closure | JunGate/east+0-nowshahr:base | JunGate/east+0-nowshahr:closure | JunGate/east+10-chalus:base | JunGate/east+10-chalus:closure | JunGate/east+10-kelardasht:base | JunGate/east+10-kelardasht:closure | JunGate/east+10-nowshahr:base | JunGate/east+10-nowshahr:closure | JunGate/east+5-chalus:base | JunGate/east+5-chalus:closure | JunGate/east+5-kelardasht:base | JunGate/east+5-kelardasht:closure | JunGate/east+5-nowshahr:base | JunGate/east+5-nowshahr:closure | JunSens/east-chalus:base | JunSens/east-chalus:closure | JunSens/east-chalus_alt:base | JunSens/east-chalus_alt:closure | JunSens/east-kelardasht:base | JunSens/east-kelardasht:closure | JunSens/east-kelardasht_alt:base | JunSens/east-kelardasht_alt:closure | JunSens/east-nowshahr:base | JunSens/east-nowshahr:closure | JunSens/east-nowshahr_alt:base | JunSens/east-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,"{""name"":[""جاده ساحلی"",""بلوار امام خمینی""]}","{""highway"":""trunk"",""maxspeed"":""60"",""name"":""بلوار امام خمینی"",""oneway"":""yes"",""ref"":""22"",""sidewalk"":""yes""}","[2387914654,2387914653,6485114348,6485114383,6485114789,2387914647,6485114799,2387914636,6485114801,6485114795,6485114805,6485114810,6485114814,6485114816,6485114822,6485114824,6485114829,2387914597,6485114833,6485114836,4339503371,6485114842,2387914593,6485114844,6485114846,2387914585,6485114850,2387914575,6485114858,6485114861,6485114864,6485114874,4339488537,4339488536,6485114892,6485114894,2387914551,6485114896,2387914544,2387914540,6485114898,4339488534,2387914535,4339488533,2387914528,6485114908,6485114906,4339481829,2387914520,6485114916,2387914517,6485114914,2387914514,2387914513,2387914508,4339481816,2387914489,10701719400,4357387608,6485114918,2387914439,4113577250,4357387604,4357387603,2387914422,6485114921,6485114923,10701719394,6485114925,6485114927,6485114958,2387914393,10701719388,2387914386,4357355151,2387914382,2387914378,2387914376,2387914375,2387914373,2387914369,6499437823]",,https://www.openstreetmap.org/way/19363588/history
way/28261391,20,2020-06-16 18:44:46+00:00,2024-01-22T06:28:55Z,22,2024-01-22T06:28:55Z,2025-04-30T12:40:37Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,"{""maxheight"":[null,""4.5""],""lanes"":[null,""4""]}","{""full_name:fa"":""بزرگراه شهید محمدابراهیم همت"",""highway"":""trunk"",""lanes"":""4"",""maxheight"":""4.5"",""maxspeed"":""90"",""name"":""بزرگراه زین الدین"",""name:en"":""Zeynoddin Expressway"",""old_name"":""بزرگراه شمال عباس آباد"",""oneway"":""yes"",""ref"":""14"",""surface"":""asphalt""}","[310377795,6418885923,6418885922,26458966,1646917174,3186082876,1646917166,6418886504,1646917158,4290850703,1646917167,1646917169,1646917178,1646917204,1646917208,6419315912,1646917214,1646917226,6419315975,1646917275,1646917295,26458962,26458958,26458574,310228779,6419362285,26458964,2184120800,1646917339,1646917322,1646917318,6372768911,26458577]",,https://www.openstreetmap.org/way/28261391/history
way/28261393,11,2020-11-02 01:39:55+00:00,2024-03-21T08:18:03Z,12,2024-03-21T08:18:03Z,2025-05-08T13:16:04Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,"{""lanes"":[null,""4""]}","{""bridge"":""yes"",""full_name:fa"":""بزرگراه شهید همت"",""highway"":""trunk"",""lanes"":""4"",""layer"":""1"",""maxspeed"":""90"",""name"":""بزرگراه شهید همت"",""name:en"":""Shahid Hemmat Expressway"",""oneway"":""yes"",""ref"":""14"",""surface"":""asphalt""}","[310377158,310377795]",,https://www.openstreetmap.org/way/28261393/history
way/80854126,30,2023-04-26 12:20:39+00:00,2024-05-28T17:57:14Z,32,2024-05-28T17:57:14Z,2026-02-18T21:59:32Z,A_NON_MATERIAL,Jan/south-chalus:closure | Jan/south-chalus_alt:closure | Jan/south-kelardasht:closure | Jan/south-kelardasht_alt:closure | Jan/south-nowshahr:closure | Jan/south-nowshahr_alt:closure | Jan/south_10-chalus:closure | Jan/south_10-chalus_alt:closure | Jan/south_10-kelardasht:closure | Jan/south_10-kelardasht_alt:closure | Jan/south_10-nowshahr:closure | Jan/south_10-nowshahr_alt:closure | Jan/south_5-chalus:closure | Jan/south_5-chalus_alt:closure | Jan/south_5-kelardasht:closure | Jan/south_5-kelardasht_alt:closure | Jan/south_5-nowshahr:closure | Jan/south_5-nowshahr_alt:closure | Jun/south-chalus:closure | Jun/south-kelardasht:closure | Jun/south-nowshahr:closure | JunGate/south+0-chalus:closure | JunGate/south+0-kelardasht:closure | JunGate/south+0-nowshahr:closure | JunGate/south+10-chalus:closure | JunGate/south+10-kelardasht:closure | JunGate/south+10-nowshahr:closure | JunGate/south+5-chalus:closure | JunGate/south+5-kelardasht:closure | JunGate/south+5-nowshahr:closure | JunSens/south-chalus:closure | JunSens/south-chalus_alt:closure | JunSens/south-kelardasht:closure | JunSens/south-kelardasht_alt:closure | JunSens/south-nowshahr:closure | JunSens/south-nowshahr_alt:closure | JunSens/south_10-chalus:closure | JunSens/south_10-chalus_alt:closure | JunSens/south_10-kelardasht:closure | JunSens/south_10-kelardasht_alt:closure | JunSens/south_10-nowshahr:closure | JunSens/south_10-nowshahr_alt:closure | JunSens/south_5-chalus:closure | JunSens/south_5-chalus_alt:closure | JunSens/south_5-kelardasht:closure | JunSens/south_5-kelardasht_alt:closure | JunSens/south_5-nowshahr:closure | JunSens/south_5-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""highway"":""trunk"",""maxspeed"":""80"",""name"":""جاده هراز"",""name:en"":""Haraz Road"",""ref"":""77""}","[3718343959,3992610712,27216777,3718343958,3718343957,11940219992,11940219993,3718343956,3992610713,27216778,11940219995,11940219996,11940219994,11940219997,942640453,11940219998,3718343954,11940219999,2130784666,11940220000,3718343953,3992610715,942640281,7608639022,942640360,3718343952,4379150821,942640475,3718343950,3718343951,4798755705,4379150822,3718343949,3718343948,8390280903,942640312,8390303760,3718343947,3718343944,3718343945,8390243165,942640376,3718343946,2130801654,2130801595,11940245397,2130801674,2130801605,11940245398,11940245399,254660417,11940245400,2130801562,11940245401,2130801635,11940245402,2130801656,11940245403,11940245404,2130801696,4379152390,2130801592,254659880,11940245405,2130801599,2130801566,254660141,254660143,11940245406,11940245407,2130801602,11940245408,2130801593,11940245409,254659362,2130801678,2130801658,2130801582,254659750,2130801651,2130801681,254659404,2544170662,254659405,3618266942,2544170674,2544170675,254659406,2544170666,2544170663,2544170659,254659363]",,https://www.openstreetmap.org/way/80854126/history
way/119890243,16,2023-03-27 16:45:30+00:00,2024-04-21T09:28:48Z,17,2024-04-21T09:28:48Z,,A_NON_MATERIAL,Jan/west-chalus:base | Jan/west-chalus:closure | Jan/west-chalus_alt:base | Jan/west-chalus_alt:closure | Jan/west-kelardasht:base | Jan/west-kelardasht:closure | Jan/west-kelardasht_alt:base | Jan/west-kelardasht_alt:closure | Jan/west-nowshahr:base | Jan/west-nowshahr:closure | Jan/west-nowshahr_alt:base | Jan/west-nowshahr_alt:closure | Jun/west-chalus:base | Jun/west-chalus:closure | Jun/west-kelardasht:base | Jun/west-kelardasht:closure | Jun/west-nowshahr:base | Jun/west-nowshahr:closure | JunGate/west+0-chalus:base | JunGate/west+0-chalus:closure | JunGate/west+0-kelardasht:base | JunGate/west+0-kelardasht:closure | JunGate/west+0-nowshahr:base | JunGate/west+0-nowshahr:closure | JunGate/west+10-chalus:base | JunGate/west+10-chalus:closure | JunGate/west+10-kelardasht:base | JunGate/west+10-kelardasht:closure | JunGate/west+10-nowshahr:base | JunGate/west+10-nowshahr:closure | JunGate/west+5-chalus:base | JunGate/west+5-chalus:closure | JunGate/west+5-kelardasht:base | JunGate/west+5-kelardasht:closure | JunGate/west+5-nowshahr:base | JunGate/west+5-nowshahr:closure | JunSens/west-chalus:base | JunSens/west-chalus:closure | JunSens/west-chalus_alt:base | JunSens/west-chalus_alt:closure | JunSens/west-kelardasht:base | JunSens/west-kelardasht:closure | JunSens/west-kelardasht_alt:base | JunSens/west-kelardasht_alt:closure | JunSens/west-nowshahr:base | JunSens/west-nowshahr:closure | JunSens/west-nowshahr_alt:base | JunSens/west-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""highway"":""primary"",""lanes"":""2"",""name"":""جمهوری"",""name:en"":""Jomhoori.street"",""oneway"":""yes"",""surface"":""asphalt""}","[10165707003,1345550236,2397674864,5169815998,2397674824,5169816005,5137290757,5849010012,11834600402,2397674762,1422461773,10731069493,5848970770,2397674651,5848970769,10731069496,2397674631,2397674618,2397674608,2397674594,10731069498,2397674565,2397674563,5848970761,1345550142,1345550139,1345550133,10731069501,10731069504,2397674475,2397674451,1345550081,1345550061,1379249595]",,https://www.openstreetmap.org/way/119890243/history
way/119890290,29,2023-03-12 17:17:30+00:00,2024-01-07T05:45:43Z,30,2024-01-07T05:45:43Z,2024-10-27T08:17:10Z,A_NON_MATERIAL,Jan/west-chalus:base | Jan/west-chalus:closure | Jan/west-chalus_alt:base | Jan/west-chalus_alt:closure | Jan/west-kelardasht:base | Jan/west-kelardasht:closure | Jan/west-kelardasht_alt:base | Jan/west-kelardasht_alt:closure | Jan/west-nowshahr:base | Jan/west-nowshahr:closure | Jan/west-nowshahr_alt:base | Jan/west-nowshahr_alt:closure | Jun/west-chalus:base | Jun/west-chalus:closure | Jun/west-kelardasht:base | Jun/west-kelardasht:closure | Jun/west-nowshahr:base | Jun/west-nowshahr:closure | JunGate/west+0-chalus:base | JunGate/west+0-chalus:closure | JunGate/west+0-kelardasht:base | JunGate/west+0-kelardasht:closure | JunGate/west+0-nowshahr:base | JunGate/west+0-nowshahr:closure | JunGate/west+10-chalus:base | JunGate/west+10-chalus:closure | JunGate/west+10-kelardasht:base | JunGate/west+10-kelardasht:closure | JunGate/west+10-nowshahr:base | JunGate/west+10-nowshahr:closure | JunGate/west+5-chalus:base | JunGate/west+5-chalus:closure | JunGate/west+5-kelardasht:base | JunGate/west+5-kelardasht:closure | JunGate/west+5-nowshahr:base | JunGate/west+5-nowshahr:closure | JunSens/west-chalus:base | JunSens/west-chalus:closure | JunSens/west-chalus_alt:base | JunSens/west-chalus_alt:closure | JunSens/west-kelardasht:base | JunSens/west-kelardasht:closure | JunSens/west-kelardasht_alt:base | JunSens/west-kelardasht_alt:closure | JunSens/west-nowshahr:base | JunSens/west-nowshahr:closure | JunSens/west-nowshahr_alt:base | JunSens/west-nowshahr_alt:closure,NO,Use 12-Jun version; no route/corridor effect,{},"{""highway"":""primary"",""lanes"":""2"",""name"":""بلوار شهید شیرودی"",""name:en"":""Boulevard Imam Reza"",""oneway"":""yes"",""surface"":""asphalt""}","[1345550389,1379250057,10731085720,3810345757,4695817305,275368100,7288842547,1418618258,10731085721,3833560852,6326984785,5863611913,10731085723,1418718433,1379249980,3810335899,10731085725,5145482412,3810348027,3818014017,3818014047,10731085728,1427382775,10731085726,3818013998,3818014002,5863646525,3833560844,275368102,3833560841,275368103,5427716892,1418718407,275368104,11496023864,11496023867,1379249929]",,https://www.openstreetmap.org/way/119890290/history
